Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,set_key_71,1376,0,520,524.4142441860465,85,2793,249.75581395348837,4.593105648637091,0.0,520,610,680,720,850,980,1100,1300,2500,2800,2800
PUT,set_key_72,1463,0,500,525.773069036227,82,3459,249.18728639781273,4.883512764502953,0.0,500,600,690,750,910,1000,1300,1500,2700,3500,3500
PUT,set_key_73,1474,1,520,540.993894165536,55,2940,249.70624151967436,4.920230905589442,0.0033380128260443974,520,630,700,740,880,1000,1200,1500,2600,2900,2900
PUT,set_key_74,1418,0,500,525.4188998589563,81,3556,249.7968970380818,4.733302187330955,0.0,500,600,680,720,880,1000,1200,1400,2300,3600,3600
PUT,set_key_75,1503,0,510,511.94544244843644,81,2051,250.27811044577513,5.017033277544729,0.0,510,610,670,710,840,970,1200,1400,2000,2100,2100
PUT,set_key_76,1424,1,500,519.5863764044943,50,2519,250.11095505617976,4.7533302642872215,0.0033380128260443974,500,600,670,710,870,1000,1300,1500,2500,2500,2500
PUT,set_key_77,1357,0,510,522.0434782608696,80,2484,249.10169491525423,4.529683404942247,0.0,510,610,670,710,840,980,1200,1400,2100,2500,2500
PUT,set_key_78,1416,0,500,512.1207627118644,81,2817,249.14124293785312,4.726626161678866,0.0,500,590,660,710,860,1000,1300,1600,2500,2800,2800
PUT,set_key_79,1465,0,530,546.1836177474403,83,2653,250.52559726962457,4.890188790155042,0.0,530,620,700,750,870,990,1200,1500,2600,2700,2700
PUT,set_key_8,1459,1,490,513.4222069910898,52,3019,246.1596984235778,4.870160713198776,0.0033380128260443974,490,590,660,700,880,1000,1200,1500,3000,3000,3000
PUT,set_key_80,1472,2,520,544.9680706521739,51,2695,250.15625,4.913554879937353,0.006676025652088795,520,630,700,750,910,1000,1200,1500,2400,2700,2700
PUT,set_key_81,1380,1,530,565.0688405797101,52,3242,250.50434782608696,4.606457699941268,0.0033380128260443974,530,620,700,740,930,1100,1500,1700,3100,3200,3200
PUT,set_key_82,1419,1,500,522.229739252995,58,2785,250.64975334742778,4.736640200157,0.0033380128260443974,500,590,670,710,900,1000,1300,1600,2800,2800,2800
PUT,set_key_83,1475,0,500,514.904406779661,78,3159,249.1735593220339,4.923568918415486,0.0,500,600,670,720,850,990,1200,1500,2500,3200,3200
PUT,set_key_84,1401,0,530,556.5246252676659,84,3509,249.7615988579586,4.6765559692882,0.0,530,650,720,760,900,1000,1300,1600,2100,3500,3500
